stateur,statemb,state,age,tenure,joblost,nwhite,school12,sex,bluecol,smsa,married,dkids,dykids,yrdispl,rr,head,ui,portfolio,derivatives,insurance,Sharpe
4.5,167,42,20,21,other,no,no,female,yes,yes,no,no,no,7,0.290631,yes,yes,no,no,no,0.0
10.5,251,55,33,2,slack_work,no,no,female,yes,yes,no,yes,yes,10,0.520202,yes,no,yes,yes,yes,1.040404
7.2,260,21,30,19,other,no,yes,female,yes,yes,yes,yes,no,10,0.4324895,yes,yes,no,no,no,0.0
5.8,245,56,30,17,slack_work,yes,no,female,yes,yes,yes,yes,no,10,0.5,no,yes,no,no,no,0.0
6.5,125,58,21,1,slack_work,no,yes,female,yes,yes,yes,yes,yes,4,0.390625,yes,no,yes,yes,yes,0.78125
7.5,188,11,21,3,other,no,no,female,yes,yes,yes,yes,no,10,0.4822007,yes,yes,no,no,no,0.0
5.8,166,93,25,5,position_abolished,no,no,female,yes,yes,yes,yes,yes,6,0.3340425,yes,yes,yes,yes,yes,0.668085
5.8,214,84,35,3,slack_work,no,no,female,yes,yes,yes,yes,yes,8,0.510989,yes,yes,yes,yes,yes,1.021978
7.7,213,84,21,20,other,no,no,female,yes,yes,yes,yes,no,6,0.3556338,yes,no,no,no,no,0.0
6.0,187,33,20,1,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.3732719,yes,yes,no,no,no,0.0
7.1,206,33,21,20,slack_work,no,no,female,yes,no,yes,yes,no,10,0.4044665,yes,yes,no,no,no,0.0
10.1,132,12,36,26,other,no,no,female,yes,no,yes,yes,no,2,0.4132948,yes,no,yes,yes,yes,0.8265896
5.0,279,22,28,1,slack_work,no,no,female,yes,yes,no,no,no,9,0.5984849,no,no,no,no,no,0.0
6.6,291,22,27,1,slack_work,yes,no,female,yes,yes,no,yes,yes,10,0.5991561,no,no,yes,yes,yes,1.1983122
7.2,166,93,26,1,slack_work,no,yes,female,yes,yes,yes,yes,no,4,0.39375,no,yes,no,no,no,0.0
7.2,260,21,20,3,other,no,no,female,yes,yes,yes,yes,no,10,0.5023041,no,yes,yes,yes,yes,1.0046082
6.4,213,84,29,12,other,no,no,female,yes,yes,yes,yes,no,7,0.4263736,no,yes,no,no,no,0.0
8.9,166,56,20,1,other,yes,no,female,yes,no,yes,yes,no,2,0.473545,yes,no,no,no,no,0.0
5.8,245,56,25,12,other,no,no,female,yes,yes,yes,yes,no,10,0.4981949,no,yes,yes,yes,yes,0.9963898
6.1,138,54,22,30,slack_work,no,no,female,yes,yes,yes,yes,no,2,0.5185185,yes,no,no,no,no,0.0
7.2,260,21,22,4,slack_work,yes,no,female,yes,yes,yes,yes,no,10,0.5,no,yes,no,no,no,0.0
18.0,211,55,21,3,other,no,no,male,yes,no,yes,yes,no,2,0.2558922,yes,yes,no,no,no,0.0
4.6,168,16,22,3,other,no,no,female,yes,yes,yes,yes,no,3,0.3359073,yes,yes,no,no,no,0.0
9.0,192,83,26,5,position_abolished,no,no,female,yes,no,yes,yes,yes,5,0.2622036,yes,no,yes,yes,yes,0.5244072
5.9,185,44,28,5,slack_work,no,no,female,yes,no,yes,yes,no,4,0.5,yes,yes,no,no,no,0.0
7.4,197,73,27,3,slack_work,no,no,female,yes,no,yes,yes,yes,6,0.4389671,yes,yes,yes,yes,yes,0.8779342
11.4,168,33,27,3,slack_work,no,no,female,yes,yes,no,yes,no,2,0.504065,no,no,yes,yes,yes,1.00813
5.5,150,43,27,3,slack_work,yes,no,female,yes,yes,yes,yes,yes,8,0.5752212,no,no,yes,yes,yes,1.1504424
4.8,179,44,24,3,other,no,yes,female,yes,no,yes,yes,yes,7,0.4010989,yes,yes,yes,yes,yes,0.8021978
6.3,150,59,24,20,other,no,no,female,yes,yes,no,yes,no,3,0.3994845,no,yes,yes,yes,yes,0.798969
5.0,138,54,21,2,slack_work,no,no,female,yes,yes,no,no,no,3,0.5204461,no,yes,no,no,no,0.0
11.5,110,62,21,3,other,no,no,female,yes,yes,no,yes,yes,2,0.4175258,yes,no,yes,yes,yes,0.8350516
4.9,194,88,27,1,slack_work,no,no,female,yes,yes,no,yes,yes,9,0.5194175,no,yes,yes,yes,yes,1.038835
7.7,147,74,24,1,slack_work,no,no,female,yes,no,yes,yes,no,1,0.4593838,no,no,no,no,no,0.0
8.8,197,34,28,3,slack_work,no,no,female,yes,yes,yes,yes,yes,5,0.4872611,yes,yes,yes,yes,yes,0.9745222
7.9,151,61,20,3,other,no,no,female,yes,no,no,no,no,7,0.6147541,yes,yes,no,no,no,0.0
3.9,176,54,29,10,other,yes,no,female,yes,yes,yes,yes,yes,8,0.5032895,no,yes,yes,yes,yes,1.006579
9.2,276,34,27,3,other,no,no,female,yes,yes,yes,yes,no,10,0.5253165,yes,no,yes,yes,yes,1.050633
13.1,205,72,26,2,slack_work,no,no,female,yes,yes,yes,yes,yes,5,0.520362,yes,no,yes,yes,yes,1.040724
6.2,135,86,20,2,slack_work,no,no,female,yes,yes,yes,yes,no,6,0.4429066,yes,yes,yes,yes,yes,0.8858132
4.7,147,57,23,17,slack_work,no,no,female,yes,no,yes,yes,no,8,0.2456814,yes,no,yes,yes,yes,0.4913628
7.3,220,71,23,1,slack_work,no,yes,female,yes,no,yes,yes,no,10,0.4405063,no,yes,yes,yes,yes,0.8810126
5.4,165,52,28,1,other,no,no,female,yes,no,yes,yes,no,3,0.5421687,no,no,yes,yes,yes,1.0843374
9.0,161,33,22,2,slack_work,no,yes,female,yes,yes,yes,yes,no,4,0.4777778,yes,no,no,no,no,0.0
7.5,210,93,26,2,slack_work,no,no,female,yes,yes,yes,yes,yes,10,0.3955696,yes,yes,yes,yes,yes,0.7911392
11.9,110,62,26,5,slack_work,no,no,female,yes,no,no,no,no,1,0.4172185,yes,yes,no,no,no,0.0
7.5,275,34,23,4,slack_work,no,no,female,yes,yes,no,no,no,9,0.5212121,yes,yes,no,no,no,0.0
9.0,282,14,22,27,slack_work,no,no,female,yes,yes,yes,yes,no,10,0.5,yes,yes,no,no,no,0.0
6.0,187,33,30,3,slack_work,no,no,female,yes,no,yes,yes,no,8,0.4884793,yes,yes,yes,yes,yes,0.9769586
9.4,136,93,26,2,slack_work,no,yes,female,yes,yes,yes,yes,no,1,0.4170403,no,yes,no,no,no,0.0
10.2,130,64,24,1,slack_work,yes,no,female,yes,yes,no,yes,no,6,0.5025381,no,no,yes,yes,yes,1.0050762
6.0,272,14,27,6,position_abolished,no,yes,female,yes,yes,yes,yes,no,9,0.3929825,yes,yes,no,no,no,0.0
6.8,176,33,20,5,slack_work,no,no,female,yes,yes,yes,yes,no,7,0.4889868,no,no,yes,yes,yes,0.9779736
5.0,229,84,28,1,other,no,no,female,yes,no,no,no,no,10,0.3818565,no,no,no,no,no,0.0
5.1,172,44,20,2,other,no,no,female,yes,yes,no,no,no,3,0.4980695,yes,yes,no,no,no,0.0
6.0,198,41,28,3,other,no,yes,female,yes,yes,yes,yes,no,4,0.5,no,yes,no,no,no,0.0
7.1,206,33,24,6,slack_work,no,no,female,yes,yes,yes,yes,no,10,0.489899,yes,yes,no,no,no,0.0
7.5,275,34,30,1,other,no,no,female,yes,yes,yes,yes,no,9,0.5252101,yes,yes,no,no,no,0.0
7.4,168,33,21,25,other,no,no,female,yes,yes,yes,yes,no,6,0.3051823,yes,yes,no,no,no,0.0
7.3,225,59,23,7,slack_work,yes,yes,female,yes,yes,yes,yes,no,10,0.4981949,yes,yes,no,no,no,0.0
8.9,115,58,20,2,slack_work,yes,yes,female,yes,no,yes,yes,no,1,0.5192308,no,yes,no,no,no,0.0
5.8,145,62,23,4,other,no,no,female,yes,no,no,no,no,7,0.390411,yes,yes,no,no,no,0.0
4.8,255,41,30,18,other,no,yes,female,yes,no,yes,yes,yes,9,0.5015197,yes,no,yes,yes,yes,1.0030394
